"QuarterEnding","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","Additions","AdditionsQF","Removals","RemovalsQF","Attended","AttendedQF","ReferredBackToGP","ReferredBackToGPQF","Transferred","TransferredQF","TreatmentNoLongerRequired","TreatmentNoLongerRequiredQF","OtherReasons","OtherReasonsQF"
"20130630","S92000003","d","New Outpatient","Z9","d",438092,,416002,,344391,,31856,,4163,,20987,,14605,
"20140630","S92000003","d","New Outpatient","Z9","d",450109,,435700,,363889,,36214,,3682,,20825,,11090,
"20150630","S92000003","d","New Outpatient","Z9","d",454921,,432500,,357148,,35518,,3560,,22526,,13748,
"20160630","S92000003","d","New Outpatient","Z9","d",470442,,439923,,361417,,36017,,3880,,24074,,14535,
"20170630","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20180630","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20190630","S92000003","d","New Outpatient","Z9","d",465284,,453134,,361999,,34868,,5642,,26165,,24460,
"20200630","S92000003","d","New Outpatient","Z9","d",178209,,175679,,129924,,15278,,1162,,13529,,15786,
"20210630","S92000003","d","New Outpatient","Z9","d",414646,,370777,,284814,,30182,,2407,,24100,,29274,
"20130930","S92000003","d","New Outpatient","Z9","d",430750,,424437,,352796,,35409,,3655,,19962,,12615,
"20140930","S92000003","d","New Outpatient","Z9","d",437367,,434961,,361235,,37228,,3188,,21959,,11351,
"20150930","S92000003","d","New Outpatient","Z9","d",446961,,441553,,363040,,37638,,3355,,24165,,13355,
"20160930","S92000003","d","New Outpatient","Z9","d",442903,,430015,,350980,,35256,,3485,,25318,,14976,
"20170930","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20180930","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20190930","S92000003","d","New Outpatient","Z9","d",456017,,460742,,368537,,35104,,5667,,26411,,25023,
"20200930","S92000003","d","New Outpatient","Z9","d",310246,,257325,,192885,,20409,,2089,,19806,,22136,
"20210930","S92000003","d","New Outpatient","Z9","d",403417,,378456,,289889,,32461,,2659,,25871,,27576,
"20130331","S92000003","d","New Outpatient","Z9","d",409369,,404773,,333908,,32005,,4536,,19674,,14650,
"20140331","S92000003","d","New Outpatient","Z9","d",439683,,435104,,365979,,34643,,3409,,20017,,11056,
"20150331","S92000003","d","New Outpatient","Z9","d",437935,,437115,,362466,,36278,,3411,,22246,,12714,
"20160331","S92000003","d","New Outpatient","Z9","d",444931,,444396,,368480,,35695,,3134,,23734,,13353,
"20170331","S92000003","d","New Outpatient","Z9","d",446763,,450847,,371033,,34496,,3700,,26240,,15378,
"20180331","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20190331","S92000003","d","New Outpatient","Z9","d",455128,,462182,,373011,,35611,,5566,,27934,,20060,
"20200331","S92000003","d","New Outpatient","Z9","d",386602,,411982,,327401,,32552,,2673,,24450,,24906,
"20210331","S92000003","d","New Outpatient","Z9","d",341908,,331157,,255616,,27168,,2220,,21014,,25139,
"20220331","S92000003","d","New Outpatient","Z9","d",401876,,395631,,308831,,31946,,2352,,26317,,26185,
"20121231","S92000003","d","New Outpatient","Z9","d",410564,,420040,,343429,,33443,,4857,,20526,,17785,
"20131231","S92000003","d","New Outpatient","Z9","d",430961,,436437,,363042,,36849,,3828,,20314,,12404,
"20141231","S92000003","d","New Outpatient","Z9","d",435148,,437480,,361827,,38605,,3410,,21240,,12398,
"20151231","S92000003","d","New Outpatient","Z9","d",437098,,455011,,375474,,39200,,3288,,23531,,13518,
"20161231","S92000003","d","New Outpatient","Z9","d",422440,,431615,,352319,,35495,,3383,,25608,,14810,
"20171231","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20181231","S92000003","d","New Outpatient","Z9","d",,":",,":",,":",,":",,":",,":",,":"
"20191231","S92000003","d","New Outpatient","Z9","d",420241,,454328,,365595,,35842,,3418,,24715,,24758,
"20201231","S92000003","d","New Outpatient","Z9","d",341859,,321527,,243723,,28835,,2666,,21126,,25177,
"20211231","S92000003","d","New Outpatient","Z9","d",392367,,394940,,304944,,35716,,2061,,26007,,26212,
"20130630","SB0801",,"New Outpatient","Z9","d",533,,520,,448,,4,,3,,3,,62,
"20140630","SB0801",,"New Outpatient","Z9","d",746,,697,,540,,4,,52,,9,,92,
"20150630","SB0801",,"New Outpatient","Z9","d",622,,609,,457,,2,,41,,6,,103,
"20160630","SB0801",,"New Outpatient","Z9","d",584,,658,,551,,5,,13,,10,,79,
"20170630","SB0801",,"New Outpatient","Z9","d",622,,612,,533,,5,,18,,1,,55,
"20180630","SB0801",,"New Outpatient","Z9","d",738,,730,,623,,11,,19,,6,,71,
"20190630","SB0801",,"New Outpatient","Z9","d",762,,706,,601,,11,,22,,14,,58,
"20200630","SB0801",,"New Outpatient","Z9","d",416,,520,,399,,4,,43,,18,,56,
"20210630","SB0801",,"New Outpatient","Z9","d",756,,747,,640,,30,,3,,18,,56,
"20130930","SB0801",,"New Outpatient","Z9","d",577,,595,,490,,7,,2,,2,,94,
"20140930","SB0801",,"New Outpatient","Z9","d",786,,833,,603,,5,,68,,5,,152,
"20150930","SB0801",,"New Outpatient","Z9","d",668,,658,,529,,3,,8,,34,,84,
"20160930","SB0801",,"New Outpatient","Z9","d",593,,563,,487,,3,,5,,8,,60,
"20170930","SB0801",,"New Outpatient","Z9","d",653,,632,,537,,1,,12,,10,,72,
"20180930","SB0801",,"New Outpatient","Z9","d",708,,717,,580,,8,,31,,27,,71,
"20190930","SB0801",,"New Outpatient","Z9","d",725,,722,,612,,5,,23,,16,,66,
"20200930","SB0801",,"New Outpatient","Z9","d",569,,556,,433,,4,,20,,20,,79,
"20210930","SB0801",,"New Outpatient","Z9","d",665,,662,,555,,27,,3,,27,,50,
"20130331","SB0801",,"New Outpatient","Z9","d",530,,604,,530,,10,,2,,6,,56,
"20140331","SB0801",,"New Outpatient","Z9","d",644,,610,,486,,5,,36,,4,,79,
"20150331","SB0801",,"New Outpatient","Z9","d",661,,708,,509,,3,,57,,11,,128,
"20160331","SB0801",,"New Outpatient","Z9","d",677,,674,,562,,10,,8,,14,,80,
"20170331","SB0801",,"New Outpatient","Z9","d",575,,527,,461,,4,,11,,5,,46,
