Year,Quarter,QuarterQF,HB,HBQF,Location,LocationQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,AllStaffedBeddays,AllStaffedBeddaysQF,TotalOccupiedBeddays,TotalOccupiedBeddaysQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,PercentageOccupancy,PercentageOccupancyQF
2021,Q1,,SB0801,,D102H,, ,z,All Acute,d,16547,,12060,,183.8555556,,134,,72.88330211,
2021,Q1,,SB0801,,SB0801,d, ,z,All Acute,d,16547,,12060,,183.8555556,,134,,72.88330211,
2021,Q2,,SB0801,,D102H,, ,z,All Acute,d,16159,,12269,,177.5714286,,134.8241758,,75.92672814,
2021,Q2,,SB0801,,SB0801,d, ,z,All Acute,d,16159,,12269,,177.5714286,,134.8241758,,75.92672814,
2021,Q3,,SB0801,,D102H,, ,z,All Acute,d,16897,,12029,,183.6630435,,130.75,,71.1901521,
2021,Q3,,SB0801,,SB0801,d, ,z,All Acute,d,16897,,12029,,183.6630435,,130.75,,71.1901521,
2021,Q4,p,SB0801,,D102H,, ,z,All Acute,d,17794,,12613,,193.4130435,,137.0978261,,70.88344386,
2021,Q4,p,SB0801,,SB0801,d, ,z,All Acute,d,17794,,12613,,193.4130435,,137.0978261,,70.88344386,
2021,Q1,,SB0801,,D102H,,Z9,d,All Specialties,d,16637,,12150,,184.8555556,,135,,73.02999339,
2021,Q1,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16637,,12150,,184.8555556,,135,,73.02999339,
2021,Q2,,SB0801,,D102H,,Z9,d,All Specialties,d,16240,,12350,,178.4615385,,135.7142857,,76.04679803,
2021,Q2,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16240,,12350,,178.4615385,,135.7142857,,76.04679803,
2021,Q3,,SB0801,,D102H,,Z9,d,All Specialties,d,16931,,12063,,184.0326087,,131.1195652,,71.24800662,
2021,Q3,,SB0801,,SB0801,d,Z9,d,All Specialties,d,16931,,12063,,184.0326087,,131.1195652,,71.24800662,
2021,Q4,p,SB0801,,D102H,,Z9,d,All Specialties,d,17796,,12615,,193.4347826,,137.1195652,,70.88671612,
2021,Q4,p,SB0801,,SB0801,d,Z9,d,All Specialties,d,17796,,12615,,193.4347826,,137.1195652,,70.88671612,
2021,Q1,,SB0801,,D102H,,C3,,Anaesthetics,,36,,36,,0.4,,0.4,,100,
2021,Q1,,SB0801,,SB0801,d,C3,,Anaesthetics,,36,,36,,0.4,,0.4,,100,
2021,Q3,,SB0801,,D102H,,C3,,Anaesthetics,,1,,1,,0.010869565,,0.010869565,,100,
2021,Q3,,SB0801,,SB0801,d,C3,,Anaesthetics,,1,,1,,0.010869565,,0.010869565,,100,
2021,Q4,p,SB0801,,D102H,,C3,,Anaesthetics,,24,,24,,0.260869565,,0.260869565,,100,
2021,Q4,p,SB0801,,SB0801,d,C3,,Anaesthetics,,24,,24,,0.260869565,,0.260869565,,100,
2021,Q1,,SB0801,,D102H,,A2,,Cardiology,,4251,,3061,,47.23333333,,34.01111111,,72.00658669,
2021,Q1,,SB0801,,SB0801,d,A2,,Cardiology,,4251,,3061,,47.23333333,,34.01111111,,72.00658669,
2021,Q2,,SB0801,,D102H,,A2,,Cardiology,,3400,,3118,,37.36263736,,34.26373626,,91.70588235,
2021,Q2,,SB0801,,SB0801,d,A2,,Cardiology,,3400,,3118,,37.36263736,,34.26373626,,91.70588235,
2021,Q3,,SB0801,,D102H,,A2,,Cardiology,,3682,,3196,,40.02173913,,34.73913043,,86.80065182,
2021,Q3,,SB0801,,SB0801,d,A2,,Cardiology,,3682,,3196,,40.02173913,,34.73913043,,86.80065182,
2021,Q4,p,SB0801,,D102H,,A2,,Cardiology,,4530,,3746,,49.23913043,,40.7173913,,82.69315673,
2021,Q4,p,SB0801,,SB0801,d,A2,,Cardiology,,4530,,3746,,49.23913043,,40.7173913,,82.69315673,
2021,Q1,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7232,,5083,,80.35555556,,56.47777778,,70.28484513,
2021,Q1,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7232,,5083,,80.35555556,,56.47777778,,70.28484513,
2021,Q2,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7502,,5413,,82.43956044,,59.48351648,,72.15409224,
2021,Q2,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7502,,5413,,82.43956044,,59.48351648,,72.15409224,
2021,Q3,,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7688,,5321,,83.56521739,,57.83695652,,69.21175858,
2021,Q3,,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7688,,5321,,83.56521739,,57.83695652,,69.21175858,
2021,Q4,p,SB0801,,D102H,,C4,,Cardiothoracic Surgery,,7994,,5441,,86.89130435,,59.14130435,,68.06354766,
2021,Q4,p,SB0801,,SB0801,d,C4,,Cardiothoracic Surgery,,7994,,5441,,86.89130435,,59.14130435,,68.06354766,
2021,Q1,,SB0801,,D102H,,H1,,Clinical Radiology,,27,,27,,0.3,,0.3,,100,
2021,Q1,,SB0801,,SB0801,d,H1,,Clinical Radiology,,27,,27,,0.3,,0.3,,100,
2021,Q2,,SB0801,,D102H,,H1,,Clinical Radiology,,48,,48,,0.527472527,,0.527472527,,100,
2021,Q2,,SB0801,,SB0801,d,H1,,Clinical Radiology,,48,,48,,0.527472527,,0.527472527,,100,
2021,Q4,p,SB0801,,D102H,,H1,,Clinical Radiology,,3,,3,,0.032608696,,0.032608696,,100,
2021,Q4,p,SB0801,,SB0801,d,H1,,Clinical Radiology,,3,,3,,0.032608696,,0.032608696,,100,
2021,Q1,,SB0801,,D102H,, ,z,Dental Grouping,d,7,,7,,0.077777778,,0.077777778,,100,
2021,Q1,,SB0801,,SB0801,d, ,z,Dental Grouping,d,7,,7,,0.077777778,,0.077777778,,100,
2021,Q2,,SB0801,,D102H,, ,z,Dental Grouping,d,2,,2,,0.021978022,,0.021978022,,100,
2021,Q2,,SB0801,,SB0801,d, ,z,Dental Grouping,d,2,,2,,0.021978022,,0.021978022,,100,
2021,Q3,,SB0801,,D102H,, ,z,Dental Grouping,d,2,,2,,0.02173913,,0.02173913,,100,
2021,Q3,,SB0801,,SB0801,d, ,z,Dental Grouping,d,2,,2,,0.02173913,,0.02173913,,100,
2021,Q4,p,SB0801,,D102H,, ,z,Dental Grouping,d,2,,2,,0.02173913,,0.02173913,,100,
2021,Q4,p,SB0801,,SB0801,d, ,z,Dental Grouping,d,2,,2,,0.02173913,,0.02173913,,100,
2021,Q1,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,157,,157,,1.744444444,,1.744444444,,100,
2021,Q1,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,157,,157,,1.744444444,,1.744444444,,100,
2021,Q2,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,113,,113,,1.241758242,,1.241758242,,100,
2021,Q2,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,113,,113,,1.241758242,,1.241758242,,100,
2021,Q3,,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,28,,28,,0.304347826,,0.304347826,,100,
2021,Q3,,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,28,,28,,0.304347826,,0.304347826,,100,
2021,Q4,p,SB0801,,D102H,,C5,,"Ear, Nose & Throat (ENT)",,57,,57,,0.619565217,,0.619565217,,100,
2021,Q4,p,SB0801,,SB0801,d,C5,,"Ear, Nose & Throat (ENT)",,57,,57,,0.619565217,,0.619565217,,100,
2021,Q1,,SB0801,,D102H,,C1,,General Surgery,,154,,154,,1.711111111,,1.711111111,,100,
2021,Q1,,SB0801,,SB0801,d,C1,,General Surgery,,154,,154,,1.711111111,,1.711111111,,100,
2021,Q2,,SB0801,,D102H,,C1,,General Surgery,,1001,,33,,11,,0.362637363,,3.296703297,
2021,Q2,,SB0801,,SB0801,d,C1,,General Surgery,,1001,,33,,11,,0.362637363,,3.296703297,
2021,Q3,,SB0801,,D102H,,C1,,General Surgery,,1336,,328,,14.52173913,,3.565217391,,24.5508982,
2021,Q3,,SB0801,,SB0801,d,C1,,General Surgery,,1336,,328,,14.52173913,,3.565217391,,24.5508982,
2021,Q4,p,SB0801,,D102H,,C1,,General Surgery,,1632,,427,,17.73913043,,4.641304348,,26.16421569,
2021,Q4,p,SB0801,,SB0801,d,C1,,General Surgery,,1632,,427,,17.73913043,,4.641304348,,26.16421569,
2021,Q1,,SB0801,,D102H,,F2,,Gynaecology,,83,,83,,0.922222222,,0.922222222,,100,
2021,Q1,,SB0801,,SB0801,d,F2,,Gynaecology,,83,,83,,0.922222222,,0.922222222,,100,
2021,Q2,,SB0801,,D102H,,F2,,Gynaecology,,79,,79,,0.868131868,,0.868131868,,100,
2021,Q2,,SB0801,,SB0801,d,F2,,Gynaecology,,79,,79,,0.868131868,,0.868131868,,100,
2021,Q3,,SB0801,,D102H,,F2,,Gynaecology,,32,,32,,0.347826087,,0.347826087,,100,
2021,Q3,,SB0801,,SB0801,d,F2,,Gynaecology,,32,,32,,0.347826087,,0.347826087,,100,
2021,Q1,,SB0801,,D102H,, ,z,Medical Grouping,d,4396,,3198,,48.84444444,,35.53333333,,72.74795268,
2021,Q1,,SB0801,,SB0801,d, ,z,Medical Grouping,d,4396,,3198,,48.84444444,,35.53333333,,72.74795268,
2021,Q2,,SB0801,,D102H,, ,z,Medical Grouping,d,3587,,3305,,39.41758242,,36.31868132,,92.13827711,
2021,Q2,,SB0801,,SB0801,d, ,z,Medical Grouping,d,3587,,3305,,39.41758242,,36.31868132,,92.13827711,
2021,Q3,,SB0801,,D102H,, ,z,Medical Grouping,d,3809,,3323,,41.40217391,,36.11956522,,87.2407456,
2021,Q3,,SB0801,,SB0801,d, ,z,Medical Grouping,d,3809,,3323,,41.40217391,,36.11956522,,87.2407456,
2021,Q4,p,SB0801,,D102H,, ,z,Medical Grouping,d,4664,,3880,,50.69565217,,42.17391304,,83.19039451,
2021,Q4,p,SB0801,,SB0801,d, ,z,Medical Grouping,d,4664,,3880,,50.69565217,,42.17391304,,83.19039451,
2021,Q1,,SB0801,,D102H,,D3,,Oral Surgery,,7,,7,,0.077777778,,0.077777778,,100,
2021,Q1,,SB0801,,SB0801,d,D3,,Oral Surgery,,7,,7,,0.077777778,,0.077777778,,100,
2021,Q2,,SB0801,,D102H,,D3,,Oral Surgery,,2,,2,,0.021978022,,0.021978022,,100,
2021,Q2,,SB0801,,SB0801,d,D3,,Oral Surgery,,2,,2,,0.021978022,,0.021978022,,100,
2021,Q3,,SB0801,,D102H,,D3,,Oral Surgery,,2,,2,,0.02173913,,0.02173913,,100,
2021,Q3,,SB0801,,SB0801,d,D3,,Oral Surgery,,2,,2,,0.02173913,,0.02173913,,100,
2021,Q4,p,SB0801,,D102H,,D3,,Oral Surgery,,2,,2,,0.02173913,,0.02173913,,100,
2021,Q4,p,SB0801,,SB0801,d,D3,,Oral Surgery,,2,,2,,0.02173913,,0.02173913,,100,
2021,Q1,,SB0801,,D102H,,C9,,Plastic Surgery,,16,,16,,0.177777778,,0.177777778,,100,
2021,Q1,,SB0801,,SB0801,d,C9,,Plastic Surgery,,16,,16,,0.177777778,,0.177777778,,100,
2021,Q2,,SB0801,,D102H,,C9,,Plastic Surgery,,6,,6,,0.065934066,,0.065934066,,100,
2021,Q2,,SB0801,,SB0801,d,C9,,Plastic Surgery,,6,,6,,0.065934066,,0.065934066,,100,
2021,Q4,p,SB0801,,D102H,,C9,,Plastic Surgery,,5,,5,,0.054347826,,0.054347826,,100,
2021,Q4,p,SB0801,,SB0801,d,C9,,Plastic Surgery,,5,,5,,0.054347826,,0.054347826,,100,
2021,Q1,,SB0801,,D102H,,AQ,,Respiratory Medicine,,118,,110,,1.311111111,,1.222222222,,93.22033898,
2021,Q1,,SB0801,,SB0801,d,AQ,,Respiratory Medicine,,118,,110,,1.311111111,,1.222222222,,93.22033898,
2021,Q2,,SB0801,,D102H,,AQ,,Respiratory Medicine,,139,,139,,1.527472527,,1.527472527,,100,
2021,Q2,,SB0801,,SB0801,d,AQ,,Respiratory Medicine,,139,,139,,1.527472527,,1.527472527,,100,
2021,Q3,,SB0801,,D102H,,AQ,,Respiratory Medicine,,127,,127,,1.380434783,,1.380434783,,100,
2021,Q3,,SB0801,,SB0801,d,AQ,,Respiratory Medicine,,127,,127,,1.380434783,,1.380434783,,100,
2021,Q4,p,SB0801,,D102H,,AQ,,Respiratory Medicine,,131,,131,,1.423913043,,1.423913043,,100,
2021,Q4,p,SB0801,,SB0801,d,AQ,,Respiratory Medicine,,131,,131,,1.423913043,,1.423913043,,100,
2021,Q1,,SB0801,,D102H,, ,z,Surgery Grouping,d,12151,,8862,,135.0111111,,98.46666667,,72.93226895,
2021,Q1,,SB0801,,SB0801,d, ,z,Surgery Grouping,d,12151,,8862,,135.0111111,,98.46666667,,72.93226895,
2021,Q2,,SB0801,,D102H,, ,z,Surgery Grouping,d,12572,,8964,,138.1538462,,98.50549451,,71.30130449,
2021,Q2,,SB0801,,SB0801,d, ,z,Surgery Grouping,d,12572,,8964,,138.1538462,,98.50549451,,71.30130449,
2021,Q3,,SB0801,,D102H,, ,z,Surgery Grouping,d,13088,,8706,,142.2608696,,94.63043478,,66.51894866,
2021,Q3,,SB0801,,SB0801,d, ,z,Surgery Grouping,d,13088,,8706,,142.2608696,,94.63043478,,66.51894866,
2021,Q4,p,SB0801,,D102H,, ,z,Surgery Grouping,d,13130,,8733,,142.7173913,,94.92391304,,66.51180503,
2021,Q4,p,SB0801,,SB0801,d, ,z,Surgery Grouping,d,13130,,8733,,142.7173913,,94.92391304,,66.51180503,
2021,Q1,,SB0801,,D102H,,C8,,Trauma and Orthopaedic Surgery,,4413,,3273,,49.03333333,,36.36666667,,74.16723317,
2021,Q1,,SB0801,,SB0801,d,C8,,Trauma and Orthopaedic Surgery,,4413,,3273,,49.03333333,,36.36666667,,74.16723317,
2021,Q2,,SB0801,,D102H,,C8,,Trauma and Orthopaedic Surgery,,3794,,3243,,41.69230769,,35.63736264,,85.47706906,
2021,Q2,,SB0801,,SB0801,d,C8,,Trauma and Orthopaedic Surgery,,3794,,3243,,41.69230769,,35.63736264,,85.47706906,
2021,Q3,,SB0801,,D102H,,C8,,Trauma and Orthopaedic Surgery,,3902,,2895,,42.41304348,,31.4673913,,74.19272168,
2021,Q3,,SB0801,,SB0801,d,C8,,Trauma and Orthopaedic Surgery,,3902,,2895,,42.41304348,,31.4673913,,74.19272168,
2021,Q4,p,SB0801,,D102H,,C8,,Trauma and Orthopaedic Surgery,,3294,,2655,,35.80434783,,28.85869565,,80.6010929,
2021,Q4,p,SB0801,,SB0801,d,C8,,Trauma and Orthopaedic Surgery,,3294,,2655,,35.80434783,,28.85869565,,80.6010929,
2021,Q1,,SB0801,,D102H,,CB,,Urology,,143,,143,,1.588888889,,1.588888889,,100,
2021,Q1,,SB0801,,SB0801,d,CB,,Urology,,143,,143,,1.588888889,,1.588888889,,100,
2021,Q2,,SB0801,,D102H,,CB,,Urology,,156,,156,,1.714285714,,1.714285714,,100,
2021,Q2,,SB0801,,SB0801,d,CB,,Urology,,156,,156,,1.714285714,,1.714285714,,100,
2021,Q3,,SB0801,,D102H,,CB,,Urology,,133,,133,,1.445652174,,1.445652174,,100,
2021,Q3,,SB0801,,SB0801,d,CB,,Urology,,133,,133,,1.445652174,,1.445652174,,100,
