FinancialYear,FinancialYearQF,HB,HBQF,Specialty,SpecialtyQF,SpecialtyName,SpecialtyNameQF,SpecialtyGrouping,SpecialtyGroupingQF,AverageAvailableStaffedBeds,AverageAvailableStaffedBedsQF,PercentageOccupancy,PercentageOccupancyQF,AllStaffedBeds,AllStaffedBedsQF,AverageOccupiedBeds,AverageOccupiedBedsQF,TotalOccupiedBeds,TotalOccupiedBedsQF
2011/12,"",S08000015,"",A1,"",General Medicine,"",Medical Grouping,"",297,"",90.1,"",108835,"",267.8469945355191,"",98032,""
2011/12,"",S08000015,"",A2,"",Cardiology,"",Medical Grouping,"",34,"",88.8,"",12418,"",30.128415300546447,"",11027,""
2011/12,"",S08000015,"",A6,"",Infectious Diseases,"",Medical Grouping,"",0,"",100,"",24,"",0.06557377049180328,"",24,""
2011/12,"",S08000015,"",A7,"",Dermatology,"",Medical Grouping,"",10,"",42.4,"",3634,"",4.213114754098361,"",1542,""
2011/12,"",S08000015,"",A8,"",Endocrinology & Diabetes,"",Medical Grouping,"",2,"",100,"",676,"",1.8469945355191257,"",676,""
2011/12,"",S08000015,"",A9,"",Gastroenterology,"",Medical Grouping,"",1,"",100,"",279,"",0.7622950819672131,"",279,""
2011/12,"",S08000015,"",AB,"",Geriatric Medicine,"",Medical Grouping,"",288,"",89.3,"",105349,"",256.9590163934426,"",94047,""
2011/12,"",S08000015,"",AD,"",Medical Oncology,"",Medical Grouping,"",5,"",20,"",1823,"",0.994535519125683,"",364,""
2011/12,"",S08000015,"",AF,"",Paediatrics,"",Paediatrics Grouping,"",39,"",64.9,"",14299,"",25.366120218579233,"",9284,""
2011/12,"",S08000015,"",AG,"",Renal Medicine,"",Medical Grouping,"",26,"",57.1,"",9629,"",15.021857923497267,"",5498,""
2011/12,"",S08000015,"",AP,"",Rehabilitation Medicine,"",Medical Grouping,"",14,"",61.4,"",5174,"",8.685792349726777,"",3179,""
2011/12,"",S08000015,"",AQ,"",Respiratory Medicine,"",Medical Grouping,"",4,"",100,"",1645,"",4.494535519125683,"",1645,""
2011/12,"",S08000015,"",C1,"",General Surgery,"",Surgery Grouping,"",150,"",76.8,"",54836,"",115.09016393442623,"",42123,""
2011/12,"",S08000015,"",C13,"",Oral and Maxillofacial Surgery,"",Surgery Grouping,"",4,"",86.7,"",1371,"",3.248633879781421,"",1189,""
2011/12,"",S08000015,"",C2,"",Accident & Emergency,"",Emergency Grouping,"",11,"",45.1,"",4167,"",5.131147540983607,"",1878,""
2011/12,"",S08000015,"",C3,"",Anaesthetics,"",Surgery Grouping,"",6,"",67,"",2231,"",4.081967213114754,"",1494,""
2011/12,"",S08000015,"",C5,"","Ear, Nose & Throat (ENT)","",Surgery Grouping,"",15,"",51.1,"",5434,"",7.587431693989071,"",2777,""
2011/12,"",S08000015,"",C7,"",Ophthalmology,"",Surgery Grouping,"",4,"",48.6,"",1452,"",1.9289617486338797,"",706,""
2011/12,"",S08000015,"",C8,"",Trauma and Orthopaedic Surgery,"",Surgery Grouping,"",93,"",76.2,"",33960,"",70.73497267759562,"",25889,""
2011/12,"",S08000015,"",C9,"",Plastic Surgery,"",Surgery Grouping,"",0,"",100,"",6,"",0.01639344262295082,"",6,""
2011/12,"",S08000015,"",CB,"",Urology,"",Surgery Grouping,"",25,"",85.1,"",9050,"",21.0327868852459,"",7698,""
2011/12,"",S08000015,"",D1,"",Community Dental Practice,"",Dental Grouping,"",0,"",100,"",3,"",0.00819672131147541,"",3,""
2011/12,"",S08000015,"",D3,"",Oral Surgery,"",Dental Grouping,"",0,"",,z,0,"",0,"",0,""
2011/12,"",S08000015,"",E11,"",GP Obstetrics,"",Women and Newborn Grouping,"",0,"",3.9,"",103,"",0.01092896174863388,"",4,""
2011/12,"",S08000015,"",E12,"",GP Other than Obstetrics,"",Community Grouping,"",63,"",60.6,"",22876,"",37.90163934426229,"",13872,""
2011/12,"",S08000015,"",F2,"",Gynaecology,"",Women and Newborn Grouping,"",17,"",71.7,"",6316,"",12.37704918032787,"",4530,""
2011/12,"",S08000015,"",F3,"",Obstetrics,"",Women and Newborn Grouping,"",53,"",57.4,"",19357,"",30.34153005464481,"",11105,""
2011/12,"",S08000015,"",G1,"",General Psychiatry (Mental Illness),"",Mental Health Grouping,"",135,"",80.9,"",49481,"",109.3415300546448,"",40019,""
2011/12,"",S08000015,"",G3,"",Forensic Psychiatry,"",Mental Health Grouping,"",17,"",84.2,"",6291,"",14.480874316939891,"",5300,""
2011/12,"",S08000015,"",G4,"",Psychiatry of Old Age,"",Mental Health Grouping,"",144,"",63.9,"",52663,"",91.90437158469945,"",33637,""
2011/12,"",S08000015,"",G5,"",Learning Disability,"",Learning Disability Grouping,"",20,"",71.7,"",7404,"",14.510928961748634,"",5311,""
2011/12,"",S08000015,"",GLS,"",Geriatric Medicine - long stay unit,"",Other Grouping,"",149,"",75.7,"",54571,"",112.85792349726776,"",41306,""
2011/12,"",S08000015,"",H1,"",Clinical Radiology,"",Medical Grouping,"",0,"",100,"",2,"",0.00546448087431694,"",2,""
2011/12,"",S08000015,"",H2,"",Clinical Oncology,"",Medical Grouping,"",0,"",100,"",90,"",0.2459016393442623,"",90,""
2011/12,"",S08000015,"",J4,"",Haematology,"",Medical Grouping,"",12,"",81.5,"",4248,"",9.453551912568306,"",3460,""
2011/12,"",S08000015,"",,z,All Acute Specialties,d,All Acute Specialties,d,990,"",83.3,"",362166,"",824.4453551912568,"",301747,""
2011/12,"",S08000015,"",,z,All Specialties,d,All Specialties,d,1639,"",78,"",599697,"",1278.6775956284152,"",467996,""
2011/12,"",S08000015,"",,z,Community Grouping,d,Community Grouping,"",63,"",60.6,"",22876,"",37.90163934426229,"",13872,""
2011/12,"",S08000015,"",,z,Dental Grouping,d,Dental Grouping,"",0,"",100,"",3,"",0.00819672131147541,"",3,""
