"MonthEnd","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","LessThan4WeekWait","LessThan4WeekWaitQF","4To8WeekWait","4To8WeekWaitQF","8To12WeekWait","8To12WeekWaitQF","12To16WeekWait","12To16WeekWaitQF","16To20WeekWait","16To20WeekWaitQF","20To24WeekWait","20To24WeekWaitQF","24To28WeekWait","24To28WeekWaitQF","28To32WeekWait","28To32WeekWaitQF","32To36WeekWait","32To36WeekWaitQF","36To40WeekWait","36To40WeekWaitQF","40To44WeekWait","40To44WeekWaitQF","44To48WeekWait","44To48WeekWaitQF","48To52WeekWait","48To52WeekWaitQF","52To65WeekWait","52To65WeekWaitQF","65To78WeekWait","65To78WeekWaitQF","78To91WeekWait","78To91WeekWaitQF","91To104WeekWait","91To104WeekWaitQF","Over104WeekWait","Over104WeekWaitQF"
"20130630","S08000015",,"Inpatient/Day case","A1",,6,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20140630","S08000015",,"Inpatient/Day case","A1",,4,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20150630","S08000015",,"Inpatient/Day case","A1",,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20160630","S08000015",,"Inpatient/Day case","A1",,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20170630","S08000015",,"Inpatient/Day case","A1",,21,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20180630","S08000015",,"Inpatient/Day case","A1",,20,,1,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20190630","S08000015",,"Inpatient/Day case","A1",,16,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20200630","S08000015",,"Inpatient/Day case","A1",,4,,2,,0,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20210630","S08000015",,"Inpatient/Day case","A1",,8,,0,,4,,1,,0,,0,,1,,1,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,
"20130930","S08000015",,"Inpatient/Day case","A1",,13,,3,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20140930","S08000015",,"Inpatient/Day case","A1",,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20160930","S08000015",,"Inpatient/Day case","A1",,6,,1,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20170930","S08000015",,"Inpatient/Day case","A1",,9,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20180930","S08000015",,"Inpatient/Day case","A1",,6,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20190930","S08000015",,"Inpatient/Day case","A1",,17,,2,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20200930","S08000015",,"Inpatient/Day case","A1",,11,,0,,0,,0,,0,,0,,1,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
"20210930","S08000015",,"Inpatient/Day case","A1",,3,,0,,1,,0,,0,,1,,1,,0,,0,,1,,1,,0,,0,,1,,0,,0,,0,,0,
