"QuarterEnding","HBT","HBTQF","Specialty","SpecialtyQF","AcceptedAppointments","AcceptedAppointmentsQF","DidNotAttendRatePc","DidNotAttendRatePcQF","CouldNotAttendRatePc","CouldNotAttendRatePcQF","CancellationByServiceRatePc","CancellationByServiceRatePcQF"
"20130331","S92000003","d","Z9","d",96051,,1.10238616283016,,6.8785271942803,,7.53235937735331,
"20130331","SB0801",,"Z9","d",1729,,1.8359853121175,,1.26582278481013,,5.52359033371692,
"20130331","S08000017",,"Z9","d",3166,,0.412293853073463,,5.02555366269165,,12.7768313458262,
"20130331","S08000019",,"Z9","d",3791,,1.11174458380844,,4.83572420175845,,5.85377140212864,
"20130331","S08000020",,"Z9","d",8608,,1.1741935483871,,5.6163168785102,,6.12868262883043,
"20130331","S08000032",,"Z9","d",7612,,0.37447339678577,,10.7127096204766,,6.56443071491615,
"20130331","S08000024",,"Z9","d",16041,,1.060988812703,,8.22567622123537,,8.83124747678644,
"20130331","S08000015",,"Z9","d",7362,,1.32978723404255,,5.50481362626512,,5.31967415452975,
"20130331","S08000016",,"Z9","d",1757,,0.0640204865556978,,7.03052728954672,,9.25069380203515,
"20130331","S08000029",,"Z9","d",4369,,0.709399543957436,,3.55222734254992,,8.06451612903226,
"20130331","S08000031",,"Z9","d",25874,,1.26950203034837,,7.63537202960655,,6.84326710816777,
"20130331","S08000022",,"Z9","d",5218,,2.11846087332469,,7.18205293737895,,8.05358295674629,
"20130331","S08000025",,"Z9","d",277,,0.389105058365759,,4.43037974683544,,5.06329113924051,
"20130331","S08000026",,"Z9","d",482,,0.894854586129754,,5.12295081967213,,3.07377049180328,
"20130331","S08000030",,"Z9","d",9326,,0.92210628488231,,5.06329113924051,,9.53649947653945,
"20130331","S08000028",,"Z9","d",439,,1.30548302872063,,7.09812108559499,,9.39457202505219,
"20130331","S92000003","d","A1",,1205,,2.6605504587156,,7.81129156999227,,9.12606341840681,
"20130331","S92000003","d","A11",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","A2",,3382,,1.17759388924252,,4.39827307069617,,5.36967080410146,
"20130331","S92000003","d","A3",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","A6",,6,,0,,0,,0,
"20130331","S92000003","d","A7",,214,,1.50753768844221,,3.00429184549356,,8.58369098712446,
"20130331","S92000003","d","A8",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","A81",,43,,4.65116279069767,,7.84313725490196,,0,
"20130331","S92000003","d","A82",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","A9",,1228,,1.83887915936953,,5.81478822684853,,7.82483847810481,
"20130331","S92000003","d","AA",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AB",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AC",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AD",,576,,0.181488203266788,,2.82131661442006,,5.79937304075235,
"20130331","S92000003","d","AF",,251,,1.28205128205128,,2.64150943396226,,8.67924528301887,
"20130331","S92000003","d","AFA",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AG",,102,,0,,5.30973451327434,,3.53982300884956,
"20130331","S92000003","d","AH",,1398,,1.27915726109857,,7.77713290771909,,2.95995356935578,
"20130331","S92000003","d","AJ",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AM",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AP",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AQ",,1072,,2.11946050096339,,5.62448304383788,,6.86517783291977,
"20130331","S92000003","d","AR",,458,,1.11856823266219,,4.08997955010225,,4.49897750511247,
"20130331","S92000003","d","AV",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AW",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","C1",,4892,,1.11008325624422,,7.07607699358387,,7.64436296975252,
"20130331","S92000003","d","C11",,10950,,1.06736481723895,,5.15772870662461,,6.54574132492114,
"20130331","S92000003","d","C12",,1748,,0.513478818998716,,5.63524590163934,,9.375,
"20130331","S92000003","d","C13",,3091,,1.75111773472429,,8.76605248464545,,7.90061418202122,
"20130331","S92000003","d","C2",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","C3",,533,,2.51450676982592,,2.7823240589198,,1.47299509001637,
"20130331","S92000003","d","C31",,291,,1.81818181818182,,6.3953488372093,,1.74418604651163,
"20130331","S92000003","d","C4",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","C41",,617,,0,,1.57728706624606,,15.615141955836,
"20130331","S92000003","d","C42",,471,,0.221238938053097,,1.43737166324435,,4.10677618069815,
"20130331","S92000003","d","C5",,7006,,1.00878620240807,,7.84822059863304,,6.49304737214235,
"20130331","S92000003","d","C51",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","C6",,1034,,0.334075723830735,,6.1241610738255,,10.5704697986577,
"20130331","S92000003","d","C7",,12282,,0.72450476889215,,6.97928026172301,,6.82933478735005,
"20130331","S92000003","d","C8",,15063,,0.461658841940532,,7.79080447349938,,9.36301258847047,
"20130331","S92000003","d","C9",,3767,,1.35333921741689,,5.68730786122091,,8.21256038647343,
"20130331","S92000003","d","C91",,0,,0,,0,,0,
"20130331","S92000003","d","CA",,1226,,1.30718954248366,,7.43626062322946,,8.78186968838527,
"20130331","S92000003","d","CB",,8088,,1.83238636363636,,8.11485642946317,,8.49979192675822,
"20130331","S92000003","d","D1",,781,,1.73160173160173,,9.20770877944326,,5.99571734475375,
