"QuarterEnding","HBT","HBTQF","Specialty","SpecialtyQF","AcceptedAppointments","AcceptedAppointmentsQF","DidNotAttendRatePc","DidNotAttendRatePcQF","CouldNotAttendRatePc","CouldNotAttendRatePcQF","CancellationByServiceRatePc","CancellationByServiceRatePcQF"
"20130331","S92000003","d","Z9","d",419425,,8.5243160732379,,6.73696392211759,,4.23791836345126,
"20130331","SB0801",,"Z9","d",646,,4.58553791887125,,5.25547445255474,,7.59124087591241,
"20130331","S08000017",,"Z9","d",9591,,1.09295650253919,,4.03942790877464,,3.38229609586393,
"20130331","S08000019",,"Z9","d",19494,,7.23353834001016,,6.45945476645251,,4.16739017190484,
"20130331","S08000020",,"Z9","d",35055,,5.96070915189267,,5.4461424125598,,5.81308932138046,
"20130331","S08000032",,"Z9","d",40724,,10.1852103674291,,6.91152263374486,,4.39917695473251,
"20130331","S08000024",,"Z9","d",74512,,8.89230166975323,,7.80072930541302,,4.64768434613621,
"20130331","S08000015",,"Z9","d",33679,,9.62614954018393,,7.35345735345735,,4.89144060572632,
"20130331","S08000016",,"Z9","d",7933,,4.99292786421499,,6.92838196286472,,5.87798408488064,
"20130331","S08000029",,"Z9","d",26378,,7.75679529838814,,9.6278191999505,,3.74346440615042,
"20130331","S08000031",,"Z9","d",105478,,9.92339725463986,,5.34368740660668,,3.1443741455505,
"20130331","S08000022",,"Z9","d",19383,,6.06378026070764,,8.28947368421053,,4.16228070175439,
"20130331","S08000025",,"Z9","d",1147,,4.56707897240723,,7.37179487179487,,4.7275641025641,
"20130331","S08000026",,"Z9","d",1368,,4.54545454545455,,7.27496917385943,,2.21948212083847,
"20130331","S08000030",,"Z9","d",42033,,8.94499693390567,,6.73109562508736,,4.15127493460594,
"20130331","S08000028",,"Z9","d",2004,,6.39810426540284,,8.27067669172932,,10.8187134502924,
"20130331","S92000003","d","A1",,12618,,6.90111052353252,,8.13650144539237,,3.9906930832687,
"20130331","S92000003","d","A11",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","A2",,15649,,6.76493082110825,,4.79426599415981,,4.40668967348022,
"20130331","S92000003","d","A21",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","A3",,879,,10.2493074792244,,7.48129675810474,,8.06317539484622,
"20130331","S92000003","d","A6",,2005,,18.0525164113786,,7.46011211729194,,3.83786114704614,
"20130331","S92000003","d","A7",,35820,,7.48379129360914,,7.40087287584734,,2.667378586684,
"20130331","S92000003","d","A8",,2167,,13.0299896587384,,7.77318813368382,,4.80660908749531,
"20130331","S92000003","d","A81",,2296,,11.9649805447471,,5.03274732850741,,3.96415029300241,
"20130331","S92000003","d","A82",,1981,,15.8962795941375,,7.36418511066398,,4.06438631790744,
"20130331","S92000003","d","A9",,26137,,9.67924692756908,,9.0265089591948,,5.86915408532872,
"20130331","S92000003","d","AA",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AB",,5193,,7.31813246471227,,7.15584200958519,,6.34605850272682,
"20130331","S92000003","d","AD",,1299,,1.13728675873274,,2.45487364620939,,3.89891696750903,
"20130331","S92000003","d","AF",,10852,,10.3159186177282,,6.24208566108007,,4.52886405959032,
"20130331","S92000003","d","AFA",,717,,10.1910828025478,,6.25698324022346,,6.92737430167598,
"20130331","S92000003","d","AG",,1425,,7.58513931888545,,4.98866213151927,,4.13832199546485,
"20130331","S92000003","d","AH",,13952,,12.3403229693902,,7.81766792952072,,4.55830176198208,
"20130331","S92000003","d","AK",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AM",,115,,3.6697247706422,,3.30578512396694,,4.95867768595041,
"20130331","S92000003","d","AN",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","AP",,842,,8.86426592797784,,10.2362204724409,,5.41338582677165,
"20130331","S92000003","d","AQ",,11427,,9.5380749903363,,5.94393311318766,,4.6792664933605,
"20130331","S92000003","d","AR",,7489,,8.30121553513193,,6.60491785202338,,3.98059322968354,
"20130331","S92000003","d","AV",,303,,4.9618320610687,,11.3846153846154,,7.07692307692308,
"20130331","S92000003","d","AW",,56,,2.04081632653061,,9.09090909090909,,1.2987012987013,
"20130331","S92000003","d","C1",,13638,,6.83781782275981,,6.73758865248227,,4.63525835866261,
"20130331","S92000003","d","C11",,28507,,8.54206556992693,,5.92918005719845,,4.91493941091488,
"20130331","S92000003","d","C12",,4990,,9.09090909090909,,5.68927789934355,,4.0060595859283,
"20130331","S92000003","d","C13",,8806,,12.5223157357817,,8.46333489023821,,4.43717888836992,
"20130331","S92000003","d","C2",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","C3",,2441,,10.7714016933208,,9.69777482563932,,4.98173364330787,
"20130331","S92000003","d","C31",,1534,,16.628701594533,,8.20353063343718,,7.00934579439252,
"20130331","S92000003","d","C4",,,":u",,":u",,":u",,":u"
"20130331","S92000003","d","C41",,710,,1.43769968051118,,3.57598978288633,,8.17369093231162,
"20130331","S92000003","d","C42",,298,,5.55555555555556,,3.33333333333333,,2.72727272727273,
"20130331","S92000003","d","C5",,32727,,9.06243685593049,,6.77355016876343,,3.58750127851079,
"20130331","S92000003","d","C51",,98,,4.3956043956044,,11.9266055045872,,0,
"20130331","S92000003","d","C6",,2497,,6.61000944287063,,6.07649599012955,,5.79888957433683,
"20130331","S92000003","d","C7",,40277,,7.48931071107601,,6.00484863554423,,3.7442241147096,
