DataZone,IntZone,CA,HSCP,HB,SIMD2012Rank,SIMD2012CountryDecile,SIMD2012CountryQuintile,SIMD2012HBDecile,SIMD2012HBQuintile,SIMD2012HSCPDecile,SIMD2012HSCPQuintile,SIMD2012CADecile,SIMD2012CAQuintile,SIMD2012Most15pc,SIMD2012Least15pc
S01000001,S02000003,S12000033,S37000001,S08000020,4726,8,4,6,3,6,3,6,3,0,0
S01000002,S02000001,S12000033,S37000001,S08000020,6214,10,5,10,5,9,5,9,5,0,1
S01000003,S02000001,S12000033,S37000001,S08000020,6238,10,5,10,5,9,5,9,5,0,1
S01000004,S02000001,S12000033,S37000001,S08000020,6068,10,5,9,5,8,4,8,4,0,1
S01000005,S02000003,S12000033,S37000001,S08000020,5883,10,5,9,5,8,4,8,4,0,1
S01000006,S02000003,S12000033,S37000001,S08000020,4812,8,4,6,3,6,3,6,3,0,0
S01000007,S02000003,S12000033,S37000001,S08000020,6171,10,5,9,5,9,5,9,5,0,1
S01000008,S02000003,S12000033,S37000001,S08000020,4548,7,4,5,3,6,3,6,3,0,0
S01000009,S02000001,S12000033,S37000001,S08000020,5159,8,4,7,4,6,3,6,3,0,0
S01000010,S02000001,S12000033,S37000001,S08000020,6092,10,5,9,5,9,5,9,5,0,1
S01000011,S02000007,S12000033,S37000001,S08000020,6002,10,5,9,5,8,4,8,4,0,1
S01000012,S02000002,S12000033,S37000001,S08000020,5491,9,5,8,4,7,4,7,4,0,0
S01000013,S02000003,S12000033,S37000001,S08000020,4702,8,4,6,3,6,3,6,3,0,0
S01000014,S02000005,S12000033,S37000001,S08000020,5274,9,5,7,4,6,3,6,3,0,0
S01000015,S02000005,S12000033,S37000001,S08000020,6210,10,5,10,5,9,5,9,5,0,1
S01000016,S02000007,S12000033,S37000001,S08000020,6162,10,5,9,5,9,5,9,5,0,1
S01000017,S02000005,S12000033,S37000001,S08000020,4808,8,4,6,3,6,3,6,3,0,0
S01000018,S02000005,S12000033,S37000001,S08000020,4908,8,4,6,3,6,3,6,3,0,0
S01000019,S02000007,S12000033,S37000001,S08000020,5918,10,5,9,5,8,4,8,4,0,1
S01000020,S02000004,S12000033,S37000001,S08000020,4026,7,4,5,3,5,3,5,3,0,0
S01000021,S02000002,S12000033,S37000001,S08000020,3982,6,3,5,3,5,3,5,3,0,0
S01000022,S02000004,S12000033,S37000001,S08000020,6167,10,5,9,5,9,5,9,5,0,1
S01000023,S02000007,S12000033,S37000001,S08000020,6000,10,5,9,5,8,4,8,4,0,1
S01000024,S02000003,S12000033,S37000001,S08000020,5602,9,5,8,4,7,4,7,4,0,1
S01000025,S02000004,S12000033,S37000001,S08000020,6010,10,5,9,5,8,4,8,4,0,1
S01000026,S02000006,S12000033,S37000001,S08000020,1260,2,1,1,1,2,1,2,1,0,0
S01000027,S02000004,S12000033,S37000001,S08000020,5980,10,5,9,5,8,4,8,4,0,1
S01000028,S02000002,S12000033,S37000001,S08000020,2052,4,2,2,1,3,2,3,2,0,0
S01000029,S02000004,S12000033,S37000001,S08000020,6042,10,5,9,5,8,4,8,4,0,1
S01000030,S02000002,S12000033,S37000001,S08000020,2448,4,2,2,1,3,2,3,2,0,0
S01000031,S02000004,S12000033,S37000001,S08000020,6174,10,5,9,5,9,5,9,5,0,1
S01000032,S02000002,S12000033,S37000001,S08000020,2591,4,2,2,1,3,2,3,2,0,0
S01000033,S02000006,S12000033,S37000001,S08000020,1519,3,2,1,1,2,1,2,1,0,0
S01000034,S02000004,S12000033,S37000001,S08000020,6224,10,5,10,5,9,5,9,5,0,1
S01000035,S02000008,S12000033,S37000001,S08000020,2969,5,3,3,2,4,2,4,2,0,0
S01000036,S02000008,S12000033,S37000001,S08000020,1585,3,2,1,1,2,1,2,1,0,0
S01000037,S02000005,S12000033,S37000001,S08000020,2382,4,2,2,1,3,2,3,2,0,0
S01000038,S02000006,S12000033,S37000001,S08000020,3264,5,3,3,2,4,2,4,2,0,0
S01000039,S02000008,S12000033,S37000001,S08000020,2536,4,2,2,1,3,2,3,2,0,0
S01000040,S02000006,S12000033,S37000001,S08000020,2909,5,3,2,1,4,2,4,2,0,0
S01000041,S02000006,S12000033,S37000001,S08000020,3925,6,3,4,2,5,3,5,3,0,0
S01000042,S02000008,S12000033,S37000001,S08000020,2431,4,2,2,1,3,2,3,2,0,0
S01000043,S02000008,S12000033,S37000001,S08000020,3619,6,3,4,2,5,3,5,3,0,0
S01000044,S02000008,S12000033,S37000001,S08000020,1350,2,1,1,1,2,1,2,1,0,0
S01000045,S02000009,S12000033,S37000001,S08000020,6084,10,5,9,5,8,4,8,4,0,1
S01000046,S02000009,S12000033,S37000001,S08000020,6159,10,5,9,5,9,5,9,5,0,1
S01000047,S02000010,S12000033,S37000001,S08000020,3501,6,3,4,2,5,3,5,3,0,0
S01000048,S02000009,S12000033,S37000001,S08000020,6233,10,5,10,5,9,5,9,5,0,1
S01000049,S02000009,S12000033,S37000001,S08000020,6066,10,5,9,5,8,4,8,4,0,1
S01000050,S02000011,S12000033,S37000001,S08000020,5744,9,5,8,4,7,4,7,4,0,1
S01000051,S02000013,S12000033,S37000001,S08000020,6245,10,5,10,5,10,5,10,5,0,1
S01000052,S02000012,S12000033,S37000001,S08000020,700,2,1,1,1,1,1,1,1,1,0
S01000053,S02000010,S12000033,S37000001,S08000020,4991,8,4,7,4,6,3,6,3,0,0
S01000054,S02000009,S12000033,S37000001,S08000020,6071,10,5,9,5,8,4,8,4,0,1
S01000055,S02000012,S12000033,S37000001,S08000020,1103,2,1,1,1,1,1,1,1,0,0
S01000056,S02000007,S12000033,S37000001,S08000020,5629,9,5,8,4,7,4,7,4,0,1
S01000057,S02000015,S12000033,S37000001,S08000020,784,2,1,1,1,1,1,1,1,1,0
S01000058,S02000011,S12000033,S37000001,S08000020,6181,10,5,10,5,9,5,9,5,0,1
S01000059,S02000010,S12000033,S37000001,S08000020,6141,10,5,9,5,9,5,9,5,0,1
S01000060,S02000015,S12000033,S37000001,S08000020,221,1,1,1,1,1,1,1,1,1,0
S01000061,S02000013,S12000033,S37000001,S08000020,6244,10,5,10,5,10,5,10,5,0,1
S01000062,S02000011,S12000033,S37000001,S08000020,6179,10,5,10,5,9,5,9,5,0,1
S01000063,S02000011,S12000033,S37000001,S08000020,6340,10,5,10,5,10,5,10,5,0,1
S01000064,S02000012,S12000033,S37000001,S08000020,4322,7,4,5,3,5,3,5,3,0,0
S01000065,S02000010,S12000033,S37000001,S08000020,4475,7,4,5,3,6,3,6,3,0,0
S01000066,S02000012,S12000033,S37000001,S08000020,1971,3,2,2,1,3,2,3,2,0,0
S01000067,S02000013,S12000033,S37000001,S08000020,5885,10,5,9,5,8,4,8,4,0,1
S01000068,S02000010,S12000033,S37000001,S08000020,5945,10,5,9,5,8,4,8,4,0,1
S01000069,S02000012,S12000033,S37000001,S08000020,1290,2,1,1,1,2,1,2,1,0,0
S01000070,S02000015,S12000033,S37000001,S08000020,2059,4,2,2,1,3,2,3,2,0,0
