Aggregated speciality,Speciality
Clinical laboratory specialties,Histopathology
Clinical laboratory specialties,Chemical pathology
Clinical laboratory specialties,Haematology
Clinical laboratory specialties,Immunology
Clinical laboratory specialties,Medical microbiology & virology
Clinical laboratory specialties,Clinical radiology
Clinical laboratory specialties,Diagnostic neuropathology
Medical specialties,General (internal) medicine
Medical specialties,Cardiology
Medical specialties,Clinical genetics
Medical specialties,Clinical pharmacology & therapeutics
Medical specialties,Infectious diseases
Medical specialties,Dermatology
Medical specialties,Endocrinology & diabetes
Medical specialties,Gastroenterology
Medical specialties,Acute internal medicine
Medical specialties,Genito - urinary medicine
Medical specialties,Geriatric medicine
Medical specialties,Homeopathy
Medical specialties,Medical oncology
Medical specialties,Renal medicine
Medical specialties,Neurology
Medical specialties,Palliative medicine
Medical specialties,Rehabilitation medicine
Medical specialties,Respiratory medicine
Medical specialties,Rheumatology
Medical specialties,Audio vestibular medicine
Medical specialties,Medical ophthalmology
Medical specialties,Clinical neurophysiology
Medical specialties,Clinical oncology
Medical specialties,Nuclear medicine
Medical specialties,Sports & Exercise Medicine
Medical specialties,Allergy
Medical specialties,Tropical Medicine
Psychiatric specialties,General psychiatry 
Psychiatric specialties,Child & adolescent psychiatry
Psychiatric specialties,Forensic psychiatry
Psychiatric specialties,Old age psychiatry
Psychiatric specialties,Psychiatry of learning disability
Psychiatric specialties,Psychotherapy
Surgical specialties,General surgery
Surgical specialties,Cardiothoracic surgery
Surgical specialties,Otolaryngology
Surgical specialties,Neurosurgery
Surgical specialties,Ophthalmology
Surgical specialties,Trauma & orthopaedic surgery
Surgical specialties,Plastic surgery
Surgical specialties,Paediatric surgery
Surgical specialties,Urology
Surgical specialties,Vascular surgery
Surgical specialties,Oral & maxillofacial surgery
Paediatrics specialties,Paediatrics
Paediatrics specialties,Paediatric cardiology
All dental specialties,Oral medicine
All dental specialties,Oral surgery
All dental specialties,Orthodontics
All dental specialties,Paediatric dentistry
All dental specialties,Restorative dentistry
All dental specialties,Dental & maxillofacial radiology
All dental specialties,Oral microbiology
All dental specialties,Oral & maxillofacial pathology
All dental specialties,Surgical dentistry
All dental specialties,Community dentistry
All dental specialties,Special care dentistry
All dental specialties,Dental public health
All dental specialties,Not known dental specialty
Emergency medicine,Emergency medicine
Anaesthetics,Anaesthetics
Intensive care medicine,Intensive care medicine
Public health medicine ,Public health medicine 
Occupational medicine,Occupational medicine
Obstetrics & gynaecology,Obstetrics & gynaecology
Sexual & reproductive medicine,Sexual & reproductive medicine
Community sexual and reproductive health,Community sexual and reproductive health
General practice,General practice
Not known medical specialty,Not known medical specialty
