"QuarterEnding","HBT","HBTQF","PatientType","Specialty","SpecialtyQF","NumberWaiting","NumberWaitingQF","Available","AvailableQF","Unavailable","UnavailableQF","MedicalTotal","MedicalTotalQF","MedicalOtherMedicalCondition","MedicalOtherMedicalConditionQF","MedicalIndefinitelyUnavailable","MedicalIndefinitelyUnavailableQF","MedicalOther","MedicalOtherQF","PatientAdvisedTotal","PatientAdvisedTotalQF","PatientAdvisedHoliday","PatientAdvisedHolidayQF","PatientAdvisedPersonalCommitment","PatientAdvisedPersonalCommitmentQF","PatientAdvisedWorkCommitment","PatientAdvisedWorkCommitmentQF","PatientAdvisedCarerCommitment","PatientAdvisedCarerCommitmentQF","PatientAdvisedAcademicCommitment","PatientAdvisedAcademicCommitmentQF","PatientAdvisedJuryDuty","PatientAdvisedJuryDutyQF","PatientAdvisedWeather","PatientAdvisedWeatherQF","PatientAdvisedIndefinitelyUnavailable","PatientAdvisedIndefinitelyUnavailableQF","PatientAdvisedOther","PatientAdvisedOtherQF","PatientRequestedTotal","PatientRequestedTotalQF","PatientRequestedNamedConsultant","PatientRequestedNamedConsultantQF","PatientRequestedTreatedLocalHealthBoard","PatientRequestedTreatedLocalHealthBoardQF","SuspensionExceptionalCircumstances","SuspensionExceptionalCircumstancesQF","PFBUnavailability","PFBUnavailabilityQF"
"20121231","S92000003","d","New Outpatient","Z9","d",208284,,196612,,11672,,1876,,187,,219,,1470,,8218,,291,,218,,107,,12,,4,,0,,21,,38,,7527,,461,,33,,428,,1,,1116,
"20130331","S92000003","d","New Outpatient","Z9","d",212903,,203854,,9049,,1682,,475,,470,,737,,3617,,405,,333,,193,,22,,13,,1,,4,,52,,2594,,2653,,143,,2510,,1,,1096,
"20130630","S92000003","d","New Outpatient","Z9","d",235104,,224720,,10384,,1750,,835,,506,,409,,4024,,1565,,665,,371,,40,,37,,2,,1,,102,,1241,,3709,,271,,3438,,0,,901,
"20130930","S92000003","d","New Outpatient","Z9","d",241242,,229418,,11824,,1430,,756,,394,,280,,4148,,1420,,868,,553,,54,,55,,2,,40,,99,,1057,,5073,,345,,4728,,0,,1173,
"20131231","S92000003","d","New Outpatient","Z9","d",236057,,224159,,11898,,1350,,811,,433,,106,,3996,,1220,,1290,,593,,53,,32,,3,,67,,157,,581,,5621,,262,,5359,,0,,931,
"20140331","S92000003","d","New Outpatient","Z9","d",240445,,230204,,10241,,1073,,880,,176,,17,,2728,,1036,,856,,491,,57,,48,,3,,21,,77,,139,,5639,,246,,5393,,0,,801,
"20140630","S92000003","d","New Outpatient","Z9","d",254733,,241790,,12943,,1032,,966,,57,,9,,4919,,2913,,1070,,593,,50,,44,,2,,89,,45,,113,,6141,,404,,5737,,0,,851,
"20140930","S92000003","d","New Outpatient","Z9","d",257030,,244201,,12829,,981,,955,,26,,0,,3878,,2119,,942,,656,,38,,40,,5,,16,,30,,32,,7268,,486,,6782,,0,,702,
"20141231","S92000003","d","New Outpatient","Z9","d",254887,,243921,,10966,,998,,969,,29,,0,,3760,,1654,,1421,,530,,44,,29,,3,,18,,34,,27,,5197,,263,,4934,,0,,1011,
"20150331","S92000003","d","New Outpatient","Z9","d",255518,,247895,,7623,,839,,815,,24,,0,,2660,,1104,,896,,479,,36,,49,,5,,23,,26,,42,,3249,,308,,2941,,0,,875,
