QuarterEnding,HBT,HBTQF,PatientType,Specialty,SpecialtyQF,NumberWaiting,NumberWaitingQF,Available,AvailableQF,Unavailable,UnavailableQF,MedicalTotal,MedicalTotalQF,MedicalOtherMedicalCondition,MedicalOtherMedicalConditionQF,MedicalIndefinitelyUnavailable,MedicalIndefinitelyUnavailableQF,MedicalOther,MedicalOtherQF,PatientAdvisedTotal,PatientAdvisedTotalQF,PatientAdvisedHoliday,PatientAdvisedHolidayQF,PatientAdvisedPersonalCommitment,PatientAdvisedPersonalCommitmentQF,PatientAdvisedWorkCommitment,PatientAdvisedWorkCommitmentQF,PatientAdvisedCarerCommitment,PatientAdvisedCarerCommitmentQF,PatientAdvisedAcademicCommitment,PatientAdvisedAcademicCommitmentQF,PatientAdvisedJuryDuty,PatientAdvisedJuryDutyQF,PatientAdvisedWeather,PatientAdvisedWeatherQF,PatientAdvisedIndefinitelyUnavailable,PatientAdvisedIndefinitelyUnavailableQF,PatientAdvisedOther,PatientAdvisedOtherQF,PatientRequestedTotal,PatientRequestedTotalQF,PatientRequestedNamedConsultant,PatientRequestedNamedConsultantQF,PatientRequestedTreatedLocalHealthBoard,PatientRequestedTreatedLocalHealthBoardQF,SuspensionExceptionalCircumstances,SuspensionExceptionalCircumstancesQF,PFBUnavailability,PFBUnavailabilityQF
20121231,S92000003,d,Inpatient/Day case,Z9,d,45083,,36821,,8262,,2008,,456,,78,,1474,,5654,,274,,592,,221,,30,,27,,1,,0,,133,,4376,,560,,163,,397,,0,,40,
20130331,S92000003,d,Inpatient/Day case,Z9,d,49205,,40667,,8538,,2233,,1071,,149,,1013,,4656,,467,,866,,279,,48,,110,,0,,3,,101,,2782,,1580,,805,,775,,0,,69,
20130630,S92000003,d,Inpatient/Day case,Z9,d,51655,,40826,,10829,,2168,,1497,,179,,492,,5587,,1732,,1838,,419,,94,,87,,3,,0,,181,,1233,,2992,,1783,,1209,,0,,82,
20130930,S92000003,d,Inpatient/Day case,Z9,d,54754,,43929,,10825,,2259,,1684,,185,,390,,5032,,1288,,1879,,634,,99,,82,,2,,0,,152,,896,,3525,,2034,,1491,,0,,9,
20131231,S92000003,d,Inpatient/Day case,Z9,d,55855,,43322,,12533,,2575,,2187,,162,,226,,5541,,886,,3070,,707,,83,,64,,1,,8,,225,,497,,4397,,2332,,2065,,0,,20,
20140331,S92000003,d,Inpatient/Day case,Z9,d,53987,,43543,,10444,,2415,,2255,,103,,57,,4251,,934,,2227,,543,,77,,171,,3,,1,,114,,181,,3776,,2050,,1726,,0,,2,
20140630,S92000003,d,Inpatient/Day case,Z9,d,53922,,42470,,11452,,2185,,2101,,49,,35,,5965,,2198,,2862,,583,,83,,77,,0,,5,,28,,129,,3300,,1947,,1353,,0,,2,
20140930,S92000003,d,Inpatient/Day case,Z9,d,55338,,44981,,10357,,2283,,2272,,11,,0,,4953,,1468,,2621,,676,,68,,106,,1,,2,,5,,6,,3121,,1897,,1224,,0,,0,
20141231,S92000003,d,Inpatient/Day case,Z9,d,55817,,43627,,12190,,2610,,2602,,8,,0,,5639,,967,,3718,,750,,89,,106,,1,,3,,4,,1,,3936,,2552,,1384,,0,,5,
20150331,S92000003,d,Inpatient/Day case,Z9,d,55978,,45620,,10358,,2490,,2482,,8,,0,,4160,,954,,2388,,543,,57,,202,,4,,0,,1,,11,,3705,,2216,,1489,,0,,3,
