_id,DataZone,UrbanRural2fold2016,UrbanRural3fold2016,UrbanRural6fold2016,UrbanRural8fold2016
1,S01006506,1,1,3,3
2,S01006507,1,1,3,3
3,S01006508,1,1,3,3
4,S01006509,1,1,3,3
5,S01006510,1,1,3,3
6,S01006511,1,1,3,3
7,S01006512,2,2,5,6
8,S01006513,1,1,3,3
9,S01006514,1,1,3,3
10,S01006515,1,1,3,3
11,S01006516,1,1,3,3
12,S01006517,1,1,1,1
13,S01006518,1,1,1,1
14,S01006519,1,1,1,1
15,S01006520,1,1,1,1
16,S01006521,1,1,1,1
17,S01006522,1,1,1,1
18,S01006523,1,1,1,1
19,S01006524,1,1,1,1
20,S01006525,1,1,1,1
21,S01006526,1,1,1,1
22,S01006527,1,1,1,1
23,S01006528,1,1,1,1
24,S01006529,1,1,1,1
25,S01006530,1,1,1,1
26,S01006531,1,1,1,1
27,S01006532,1,1,1,1
28,S01006533,1,1,1,1
29,S01006534,1,1,1,1
30,S01006535,1,1,1,1
31,S01006536,1,1,1,1
32,S01006537,1,1,1,1
33,S01006538,1,1,1,1
34,S01006539,1,1,1,1
35,S01006540,1,1,1,1
36,S01006541,1,1,1,1
37,S01006542,1,1,1,1
38,S01006543,1,1,1,1
39,S01006544,1,1,1,1
40,S01006545,1,1,1,1
41,S01006546,1,1,1,1
42,S01006547,1,1,1,1
43,S01006548,1,1,1,1
44,S01006549,1,1,1,1
45,S01006550,1,1,1,1
46,S01006551,1,1,1,1
47,S01006552,1,1,1,1
48,S01006553,1,1,1,1
49,S01006554,1,1,1,1
50,S01006555,1,1,1,1
51,S01006556,1,1,1,1
52,S01006557,1,1,1,1
53,S01006558,1,1,1,1
54,S01006559,1,1,1,1
55,S01006560,1,1,1,1
56,S01006561,1,1,1,1
57,S01006562,1,1,1,1
58,S01006563,1,1,1,1
59,S01006564,1,1,1,1
60,S01006565,1,1,1,1
61,S01006566,1,1,1,1
62,S01006567,1,1,1,1
63,S01006568,1,1,1,1
64,S01006569,1,1,1,1
65,S01006570,1,1,1,1
66,S01006571,1,1,1,1
67,S01006572,1,1,1,1
68,S01006573,1,1,1,1
69,S01006574,1,1,1,1
70,S01006575,1,1,1,1
71,S01006576,1,1,1,1
72,S01006577,1,1,1,1
73,S01006578,1,1,1,1
74,S01006579,1,1,1,1
75,S01006580,1,1,1,1
76,S01006581,1,1,1,1
77,S01006582,1,1,1,1
78,S01006583,1,1,1,1
79,S01006584,1,1,1,1
80,S01006585,1,1,1,1
81,S01006586,1,1,1,1
82,S01006587,1,1,1,1
83,S01006588,1,1,1,1
84,S01006589,1,1,1,1
85,S01006590,1,1,1,1
86,S01006591,1,1,1,1
87,S01006592,1,1,1,1
88,S01006593,1,1,1,1
89,S01006594,1,1,1,1
90,S01006595,1,1,1,1
91,S01006596,1,1,1,1
92,S01006597,1,1,1,1
93,S01006598,1,1,1,1
94,S01006599,1,1,1,1
95,S01006600,1,1,1,1
96,S01006601,1,1,1,1
97,S01006602,1,1,1,1
98,S01006603,1,1,1,1
99,S01006604,1,1,1,1
100,S01006605,1,1,1,1
101,S01006606,1,1,1,1
102,S01006607,1,1,1,1
103,S01006608,1,1,1,1
104,S01006609,1,1,1,1
105,S01006610,1,1,1,1
106,S01006611,1,1,1,1
107,S01006612,1,1,1,1
108,S01006613,1,1,1,1
109,S01006614,1,1,1,1
110,S01006615,1,1,1,1
111,S01006616,1,1,1,1
112,S01006617,1,1,1,1
113,S01006618,1,1,1,1
114,S01006619,1,1,1,1
115,S01006620,1,1,1,1
116,S01006621,1,1,1,1
117,S01006622,1,1,1,1
118,S01006623,1,1,1,1
119,S01006624,1,1,1,1
120,S01006625,1,1,1,1
121,S01006626,1,1,1,1
122,S01006627,1,1,1,1
123,S01006628,1,1,1,1
124,S01006629,1,1,1,1
125,S01006630,1,1,1,1
126,S01006631,1,1,1,1
127,S01006632,1,1,1,1
128,S01006633,1,1,1,1
129,S01006634,1,1,1,1
130,S01006635,1,1,1,1
131,S01006636,1,1,1,1
132,S01006637,1,1,1,1
133,S01006638,1,1,1,1
134,S01006639,1,1,1,1
135,S01006640,1,1,1,1
136,S01006641,1,1,1,1
137,S01006642,1,1,1,1
138,S01006643,1,1,1,1
